NCTETID	SCHOOLYEAR_SP	SPRINGTQ_11	SPRINGTQ_12	SPRINGTQ_13	SURVEY_GRADE	NMO01	NMO02_2011	NMO02_2012	NMO02_2013	NMO03_2011	NMO03_2012	NMO03_2013	NMO04_2011	NMO04_2012	NMO04_2013	NMO05_2011	NMO05_2012	NMO05_2013	NMO06_2011	NMO06_2012	NMO06_2013	NMO07_2011	NMO07_2012	NMO07_2013	NMO08_2011	NMO08_2012	NMO08_2013	NMO09_2011	NMO09_2012	NMO09_2013	NMO10_2011	NMO10_2012	NMO10_2013	NMO11_2011	NMO11_2012	NMO11_2013	NMO12_2011	NMO12_2012	NMO12_2013	NMO13_2011	NMO13_2012	NMO13_2013	NMO14_2011	NMO14_2012	NMO14_2013	NMO15_2011	NMO15_2012	NMO15_2013	NMO16_2011	NMO16_2012	NMO16_2013	ALG01_2011	ALG01_2012	ALG01_2013	ALG02_2011	ALG02_2012	ALG02_2013	ALG03_2011	ALG03_2012	ALG03_2013	ALG04_2011	ALG04_2012	ALG04_2013	ALG05_2011	ALG05_2012	ALG05_2013	ALG06_2011	ALG06_2012	ALG06_2013	ALG07	ALG08_2011	ALG08_2012	ALG08_2013	ALG09	GEO01	GEO02	GEO03	GEO04	GEO05	GEO06	GEO07	GEO08	SOL01	SOL02	SOL03	SOL04	SOL05	STL01_SP	STL02_SP	STL03_SP	STL04_SP	STL05_SP	STL06_SP	STL07_SP	SCC01_SP	SCC02_SP	SCC03_SP	SCC04_SP	SCC05_SP	SCC06_SP	SCC07_SP	SCC08_SP	G4KS_Q1A_11	G4KS_Q1B_11	G4KS_Q1C_11	G4KS_Q2A_11	G4KS_Q2B_11	G4KS_Q2C_11	G4KS_Q3A_11	G4KS_Q3B_11	G4KS_Q3C_11	G4KS_Q4A_11	G4KS_Q4B_11	G4KS_Q4C_11	G4KS_Q5A_11	G4KS_Q5B_11	G4KS_Q5C_11	G4KS_Q6A_11	G4KS_Q6B_11	G4KS_Q6C_11	G4KS_Q7A_11	G4KS_Q7B_11	G4KS_Q7C_11	G4KS_Q8A_11	G4KS_Q8B_11	G4KS_Q8C_11	G4KS_Q9A_11	G4KS_Q9B_11	G4KS_Q9C_11	G4KS_Q10A_11	G4KS_Q10B_11	G4KS_Q10C_11	G4KS_Q11A_11	G4KS_Q11B_11	G4KS_Q11C_11	G4KS_Q12A_11	G4KS_Q12B_11	G4KS_Q12C_11	G4KS_Q13A_11	G4KS_Q13B_11	G4KS_Q13C_11	G4KS_Q14A_11	G4KS_Q14B_11	G4KS_Q14C_11	G5KS_Q1A_11	G5KS_Q1B_11	G5KS_Q1C_11	G5KS_Q2A_11	G5KS_Q2B_11	G5KS_Q2C_11	G5KS_Q3A_11	G5KS_Q3B_11	G5KS_Q3C_11	G5KS_Q4A_11	G5KS_Q4B_11	G5KS_Q4C_11	G5KS_Q5A_11	G5KS_Q5B_11	G5KS_Q5C_11	G5KS_Q6A_11	G5KS_Q6B_11	G5KS_Q6C_11	G5KS_Q7A_11	G5KS_Q7B_11	G5KS_Q7C_11	G5KS_Q8A_11	G5KS_Q8B_11	G5KS_Q8C_11	G5KS_Q9A_11	G5KS_Q9B_11	G5KS_Q9C_11	G5KS_Q10A_11	G5KS_Q10B_11	G5KS_Q10C_11	G5KS_Q11A_11	G5KS_Q11B_11	G5KS_Q11C_11	G5KS_Q12A_11	G5KS_Q12B_11	G5KS_Q12C_11	G5KS_Q13A_11	G5KS_Q13B_11	G5KS_Q13C_11	G5KS_Q14A_11	G5KS_Q14B_11	G5KS_Q14C_11	G5KS_Q15A_11	G5KS_Q15B_11	G5KS_Q15C_11	G4KS_Q1A_12	G4KS_Q1B_12	G4KS_Q1C_12	G4KS_Q2A_12	G4KS_Q2B_12	G4KS_Q2C_12	G4KS_Q3A_12	G4KS_Q3B_12	G4KS_Q3C_12	G4KS_Q4A_12	G4KS_Q4B_12	G4KS_Q4C_12	G4KS_Q5A_12	G4KS_Q5B_12	G4KS_Q5C_12	G4KS_Q6A_12	G4KS_Q6B_12	G4KS_Q6C_12	G4KS_Q7A_12	G4KS_Q7B_12	G4KS_Q7C_12	G4KS_Q8A_12	G4KS_Q8B_12	G4KS_Q8C_12	G5KS_Q1A_12	G5KS_Q1B_12	G5KS_Q1C_12	G5KS_Q2A_12	G5KS_Q2B_12	G5KS_Q2C_12	G5KS_Q3A_12	G5KS_Q3B_12	G5KS_Q3C_12	G5KS_Q4A_12	G5KS_Q4B_12	G5KS_Q4C_12	G5KS_Q5A_12	G5KS_Q5B_12	G5KS_Q5C_12	G5KS_Q6A_12	G5KS_Q6B_12	G5KS_Q6C_12	G5KS_Q7A_12	G5KS_Q7B_12	G5KS_Q7C_12	G5KS_Q8A_12	G5KS_Q8B_12	G5KS_Q8C_12	G4KS_Q1A_13	G4KS_Q1B_13	G4KS_Q2A_13	G4KS_Q2B_13	G4KS_Q3A_13	G4KS_Q3B_13	G4KS_Q4A_13	G4KS_Q4B_13	G4KS_Q5A_13	G4KS_Q5B_13	G4KS_Q6A_13	G4KS_Q6B_13	G4KS_Q7A_13	G4KS_Q7B_13	G4KS_Q8A_13	G4KS_Q8B_13	G4KS_Q9A_13	G4KS_Q9B_13	G4KS_Q10A_13	G4KS_Q10B_13	G4KS_Q11A_13	G4KS_Q11B_13	G4KS_Q12A_13	G4KS_Q12B_13	G4KS_Q13A_13	G4KS_Q13B_13	G4KS_Q14A_13	G4KS_Q14B_13	G4KS_Q15A_13	G4KS_Q15B_13	G4KS_Q16A_13	G4KS_Q16B_13	G5KS_Q1A_13	G5KS_Q1B_13	G5KS_Q2A_13	G5KS_Q2B_13	G5KS_Q3A_13	G5KS_Q3B_13	G5KS_Q4A_13	G5KS_Q4B_13	G5KS_Q5A_13	G5KS_Q5B_13	G5KS_Q6A_13	G5KS_Q6B_13	G5KS_Q7A_13	G5KS_Q7B_13	G5KS_Q8A_13	G5KS_Q8B_13	G5KS_Q9A_13	G5KS_Q9B_13	G5KS_Q10A_13	G5KS_Q10B_13	G5KS_Q11A_13	G5KS_Q11B_13	G5KS_Q12A_13	G5KS_Q12B_13	G5KS_Q13A_13	G5KS_Q13B_13	G5KS_Q14A_13	G5KS_Q14B_13	G5KS_Q15A_13	G5KS_Q15B_13	G5KS_Q16A_13	G5KS_Q16B_13	G5KS_Q17A_13	G5KS_Q17B_13	ACCURACY	KOSM	ACCURACY_YR	KOSM_YR
11001	2011	1	0	0	4	1	1	999	999	0	999	999	1	999	999	1	999	999	1	999	999	1	999	999	0	999	999	1	999	999	1	999	999	1	999	999	1	999	999	0	999	999	0	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	0	999	999	1	999	999	1	999	999	1	0	999	999	1	999	999	999	999	999	999	999	999	2	1	998	1	4	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	50	2	2	80	1	4	50	2	2	80	3	4	75	1	3	75	1	3	90	3	4	5	 	1	20	2	2	50	3	3	50	1	1	70	3	3	50	2	3	20	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-.117307752371	.051335223019	-.106048367918	.048620890826
11002	2011	1	1	1	4	1	1	999	999	0	999	999	1	999	999	1	999	999	0	999	999	1	999	999	0	999	999	1	999	999	1	999	999	1	999	999	1	999	999	0	999	999	0	999	999	1	999	999	0	999	999	0	999	999	0	999	999	1	999	999	0	999	999	0	999	999	1	999	999	1	0	999	999	0	999	999	999	999	999	999	999	999	1	1	1	1	2	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	30	3	2	80	2	4	0	2	2	80	2	4	0	2	1	60	1	4	50	1	2	60	3	4	40	2	3	20	2	2	20	3	2	40	2	3	20	2	2	20	4	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-.053255736828	-.308490455151	.197040766478	-.446374237537
11002	2012	1	1	1	4	999	999	5	998	999	2	998	999	5	998	999	2	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	4	998	999	1	998	999	5	998	999	5	998	999	2	998	999	3	998	999	3	998	999	2	998	999	2	998	999	5	998	999	999	4	998	999	4	5	5	5	5	5	3	5	999	999	999	999	999	3	3	3	3	3	3	3	4	3	2	4	1	3	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	60	68	A	78	82	D	80	76	B	40	60	A	80	70	44	60	60	6	40	52	B	40	56	C	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-.053255736828	-.308490455151	-.083439946175	6.7E-11
11002	2013	1	1	1	4	999	999	998	5	999	998	5	999	998	5	999	998	5	999	998	5	999	998	5	999	998	5	999	998	5	999	998	5	999	998	5	999	998	5	999	998	2	999	998	5	999	998	5	999	998	5	999	998	5	999	998	2	999	998	5	999	998	2	999	998	5	999	998	5	999	999	998	2	999	5	5	5	5	5	5	2	5	999	999	999	999	999	3	3	4	2	5	2	5	4	3	3	4	2	4	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	93	70	50	30	80	70	80	60	70	70	60	40	90	70	40	40	50	50	50	50	70	60	100	80	100	100	60	40	40	40	60	40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-.053255736828	-.308490455151	-.293160706758	 
11003	2012	0	1	1	4	999	999	3	998	999	2	998	999	5	998	999	2	998	999	2	998	999	3	998	999	2	998	999	4	998	999	3	998	999	4	998	999	2	998	999	2	998	999	1	998	999	2	998	999	3	998	999	2	998	999	3	998	999	3	998	999	3	998	999	2	998	999	2	998	999	999	1	998	999	2	3	3	3	3	3	3	3	999	999	999	999	999	3	3	3	4	4	4	4	4	3	2	3	2	4	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	75	75	B	100	100	A	100	100	D	60	50	A	90	85	45	75	60	6	90	90	B	80	60	C	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.57792288065	-.085583128035	.72695350647	-4.1E-11
11003	2013	0	1	1	4	999	999	998	5	999	998	2	999	998	3	999	998	2	999	998	3	999	998	2	999	998	2	999	998	3	999	998	3	999	998	3	999	998	2	999	998	2	999	998	2	999	998	2	999	998	2	999	998	2	999	998	2	999	998	2	999	998	2	999	998	2	999	998	2	999	999	998	2	999	3	3	3	3	3	3	3	3	999	999	999	999	999	3	3	3	3	2	3	3	3	2	2	2	2	3	2	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	100	90	92	85	80	60	100	75	90	80	85	70	85	65	80	65	80	70	80	65	80	70	85	70	100	85	95	70	90	70	85	70	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.57792288065	-.085583128035	.304919719696	 
11004	2011	1	1	0	4	1	1	999	999	1	999	999	1	999	999	0	999	999	0	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	0	999	999	0	999	999	0	999	999	0	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	1	999	999	1	999	999	999	999	999	999	999	999	2	1	2	1	2	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	60	2	3	75	2	4	25	2	1	85	2	 	5	2	1	75	1	4	80	1	2	50	3	3	50	2	1	25	3	2	50	2	3	50	3	2	50	 	1	5	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.015796059743	.225471407175	.16602639854	.103662878275
11004	2012	1	1	0	4	999	999	5	998	999	3	998	999	4	998	999	5	998	999	3	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	4	998	999	3	998	999	3	998	999	5	998	999	4	998	999	3	998	999	4	998	999	5	998	999	5	998	999	5	998	999	5	998	999	999	4	998	999	2	3	5	5	5	4	4	5	999	999	999	999	999	4	4	3	2	2	3	4	3	4	4	4	2	4	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	60	50	B	85	80	A	90	80	B	60	50	A	85	80	45	85	70	24	65	60	A	80	75	C	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.015796059743	.225471407175	-.213405847549	6.7E-11
11005	2011	1	1	1	5	1	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	1	999	999	1	999	999	999	999	999	999	999	999	2	2	1	1	2	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	50	2	3	70	2	4	20	1	2	50	1	3	70	3	4	50	1	3	70	2	3	25	2	3	50	3	3	70	1	3	50	2	3	50	2	3	70	2	4	70	2	3	70	2	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-.515186786652	-1.091974616051	-.513247072697	-.249033853412
11005	2012	1	1	1	5	999	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	4	998	999	4	998	999	4	998	999	4	998	999	4	998	999	4	998	999	4	998	999	5	998	999	4	998	999	999	4	998	999	4	4	5	5	5	5	4	4	999	999	999	999	999	4	4	4	4	2	2	3	3	3	4	4	2	4	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	50	50	A	80	80	A	70	70	A	90	90	A	80	80	A	50	50	C	50	50	C	70	70	4134	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-.515186786652	-1.091974616051	-.209370091558	-1.053273677826
