SCHOOLYEAR_SP	DISTRICT	ASSIGNED_RA_SCHOOLCODE	ASSIGNED_RA_BLOCK	ASSIGNED_RA_TEMP_NCTETID	ASSIGNED_RA_ACTUAL_NCTETID	TEMP_NCTESID	ACTUAL_NCTESID	HP	CHANGE_T	TCH_RANDOM_DROP	CATEGORY	STU_RANDOM_DROP	MOVE_LEVEL	FINAL_RA_SAMPLE
2013	11	1105	1103	1	11058	512	113297	0	0	0	 	 	 	1
2013	11	1105	1103	1	11058	602	 	0	1	0	parent	0	class	1
2013	11	1105	1103	1	11058	1368	113292	0	0	0	 	 	 	1
2013	11	1105	1103	1	11058	1235	 	0	1	0	parent	0	class	1
2013	11	1105	1103	1	11058	664	113476	0	0	0	 	 	 	1
2013	11	1105	1103	1	11058	1156	113536	0	1	0	unknown	0	class	1
2013	11	1105	1103	1	11058	485	 	0	1	0	unknown	1	district	0
2013	11	1105	1103	1	11058	1395	113454	0	0	0	 	 	 	1
2013	11	1105	1103	1	11058	265	113388	0	0	0	 	 	 	1
2013	11	1105	1103	1	11058	201	 	0	1	0	unknown	1	district	0
2013	11	1105	1103	1	11058	1411	113349	0	0	0	 	 	 	1
2013	11	1105	1103	1	11058	1590	 	0	1	0	parent	0	class	1
2013	11	1105	1103	1	11058	1069	113379	0	0	0	 	 	 	1
2013	11	1105	1103	1	11058	1178	113324	0	0	0	 	 	 	1
2013	11	1105	1103	1	11058	547	113376	0	0	0	 	 	 	1
2013	11	1105	1103	1	11058	788	113315	0	0	0	 	 	 	1
2013	11	1105	1103	1	11058	599	 	0	1	0	unknown	1	district	0
2013	11	1105	1103	1	11058	438	113407	0	0	0	 	 	 	1
2013	11	1105	1103	1	11058	939	 	0	1	0	unknown	0	 	1
2013	11	1105	1103	1	11058	544	113331	0	0	0	 	 	 	1
2013	11	1105	1103	1	11058	49	113306	0	0	0	 	 	 	1
2013	11	1105	1103	1	11058	858	113444	0	0	0	 	 	 	1
2013	11	1105	1103	1	11058	1090	 	0	1	0	unknown	1	district	0
2013	11	1105	1103	1	11058	242	113465	0	0	0	 	 	 	1
2013	11	1105	1103	1	11058	204	113299	0	0	0	 	 	 	1
2013	11	1105	1103	1	11058	806	113327	0	0	0	 	 	 	1
2013	11	1105	1103	1	11058	1261	113305	0	0	0	 	 	 	1
2013	11	1105	1103	1	11058	558	113301	0	0	0	 	 	 	1
2013	14	1413	1408	2	14103	162	146731	0	0	0	 	 	 	1
2013	14	1413	1408	2	14103	1605	146118	0	0	0	 	 	 	1
2013	14	1413	1408	2	14103	1280	146347	0	0	0	 	 	 	1
2013	14	1413	1408	2	14103	427	146006	0	0	0	 	 	 	1
2013	14	1413	1408	2	14103	486	146055	0	0	0	 	 	 	1
2013	14	1413	1408	2	14103	271	146521	0	0	0	 	 	 	1
2013	14	1404	1407	3	14003	757	146876	0	0	0	 	 	 	1
2013	14	1404	1407	3	14003	1006	145705	0	0	0	 	 	 	1
2013	14	1404	1407	3	14003	1170	145799	0	0	0	 	 	 	1
2013	14	1404	1407	3	14003	114	146801	0	0	0	 	 	 	1
2013	14	1404	1407	3	14003	694	146639	0	0	0	 	 	 	1
2013	14	1404	1407	3	14003	397	145857	0	0	0	 	 	 	1
2013	14	1404	1407	3	14003	765	146850	0	1	0	unknown	1	district	0
2013	14	1404	1407	3	14003	1535	146596	0	0	0	 	 	 	1
2013	14	1404	1407	3	14003	33	145757	0	1	0	unknown	1	district	0
2013	14	1404	1407	3	14003	1331	146038	0	0	0	 	 	 	1
2013	14	1404	1407	3	14003	1294	146154	0	0	0	 	 	 	1
2013	14	1404	1407	3	14003	629	146396	0	0	0	 	 	 	1
2013	14	1404	1407	3	14003	1126	146246	0	0	0	 	 	 	1
2013	14	1413	1410	4	14104	603	 	0	1	0	unknown	1	district	0
2013	14	1413	1410	4	14104	580	145307	0	0	0	 	 	 	1
2013	14	1413	1410	4	14104	149	143585	0	0	0	 	 	 	1
2013	14	1413	1410	4	14104	248	143435	0	0	0	 	 	 	1
2013	14	1413	1410	4	14104	1112	144528	0	0	0	 	 	 	1
2013	14	1404	1407	5	14008	589	145940	0	0	0	 	 	 	1
2013	14	1404	1407	5	14008	12	145707	0	0	0	 	 	 	1
2013	14	1404	1407	5	14008	1511	146334	0	0	0	 	 	 	1
2013	14	1404	1407	5	14008	299	146566	0	0	0	 	 	 	1
2013	14	1404	1407	5	14008	89	146648	0	0	0	 	 	 	1
2013	14	1404	1407	5	14008	1263	146584	0	0	0	 	 	 	1
2013	14	1404	1407	5	14008	652	146499	0	0	0	 	 	 	1
2013	14	1404	1407	5	14008	1521	 	0	1	0	academic	0	class	1
2013	14	1404	1407	5	14008	163	 	0	1	0	unknown	1	district	0
2013	14	1404	1407	5	14008	1059	146060	0	0	0	 	 	 	1
2013	14	1404	1407	5	14008	1012	145812	0	0	0	 	 	 	1
2013	14	1404	1407	5	14008	362	146105	0	0	0	 	 	 	1
2013	14	1404	1407	5	14008	887	146315	0	0	0	 	 	 	1
2013	14	1404	1407	5	14008	1424	146576	0	0	0	 	 	 	1
2013	14	1401	1402	6	14105	1162	143450	0	0	0	 	 	 	1
2013	14	1401	1402	6	14105	904	 	0	1	0	unknown	1	school	0
2013	14	1401	1402	6	14105	979	 	0	1	0	unknown	0	 	1
2013	14	1401	1402	6	14105	52	145297	0	0	0	 	 	 	1
2013	14	1401	1402	6	14105	477	143187	0	1	0	unknown	1	district	0
2013	14	1401	1402	6	14105	307	 	0	1	0	administrative	0	class	1
2013	14	1401	1402	6	14105	1555	143311	0	0	0	 	 	 	1
2013	14	1401	1402	6	14105	578	146415	0	0	0	 	 	 	1
2013	14	1401	1402	6	14105	1480	145324	0	1	0	academic	0	class	1
2013	14	1401	1402	6	14105	1249	145305	0	0	0	 	 	 	1
2013	14	1401	1402	6	14105	985	145051	0	1	0	unknown	1	school	0
2013	14	1401	1402	6	14105	954	144591	0	0	0	 	 	 	1
2013	14	1401	1402	6	14105	45	144077	0	0	0	 	 	 	1
2013	14	1401	1402	6	14105	402	147361	0	1	0	administrative	0	class	1
2013	14	1401	1402	6	14105	264	146200	0	0	0	 	 	 	1
2013	14	1401	1402	6	14105	1214	143570	0	1	0	academic	0	class	1
2013	14	1401	1402	6	14105	498	145985	0	1	0	academic	0	class	1
2013	14	1401	1402	6	14105	916	147360	0	1	0	parent	0	class	1
2013	14	1401	1402	6	14105	613	143994	0	1	0	academic	0	class	1
2013	14	1401	1402	6	14105	834	144459	0	0	0	 	 	 	1
2013	14	1402	1403	7	14133	1380	 	0	 	1	 	 	 	0
2013	14	1402	1403	7	14133	1350	146223	1	 	1	 	 	 	0
2013	14	1402	1403	7	14133	270	145936	1	 	1	 	 	 	0
2013	14	1402	1403	7	14133	701	146553	1	 	1	 	 	 	0
2013	14	1402	1403	7	14133	859	146232	0	 	1	 	 	 	0
2013	14	1402	1403	7	14133	932	145900	0	 	1	 	 	 	0
2013	14	1402	1403	7	14133	369	146574	1	 	1	 	 	 	0
2013	14	1402	1403	7	14133	22	146369	0	 	1	 	 	 	0
2013	14	1402	1403	7	14133	453	146881	0	 	1	 	 	 	0
2013	14	1402	1403	7	14133	56	145770	1	 	1	 	 	 	0
2013	14	1402	1403	7	14133	1305	146807	0	 	1	 	 	 	0
2013	14	1402	1403	7	14133	566	146606	0	 	1	 	 	 	0
2013	14	1402	1403	7	14133	424	 	0	 	1	 	 	 	0
2013	14	1402	1403	7	14133	1245	 	0	 	1	 	 	 	0
2013	14	1402	1403	7	14133	1183	146504	1	 	1	 	 	 	0
2013	14	1402	1403	7	14133	656	146217	0	 	1	 	 	 	0
2013	14	1402	1403	7	14133	507	145911	1	 	1	 	 	 	0
2013	14	1402	1403	7	14133	344	146691	1	 	1	 	 	 	0
2013	14	1402	1403	7	14133	778	145704	1	 	1	 	 	 	0
2013	14	1402	1403	7	14133	1413	146316	1	 	1	 	 	 	0
2013	14	1402	1403	7	14133	1196	145995	0	 	1	 	 	 	0
2013	14	1402	1403	7	14133	1204	146813	1	 	1	 	 	 	0
2013	14	1402	1403	7	14133	358	145798	0	 	1	 	 	 	0
2013	14	1402	1403	7	14133	735	146189	0	 	1	 	 	 	0
2013	14	1402	1403	7	14133	738	146287	0	 	1	 	 	 	0
2013	14	1402	1403	7	14133	1098	 	0	 	1	 	 	 	0
2013	14	1402	1403	7	14133	1358	146700	1	 	1	 	 	 	0
2013	14	1402	1403	7	14133	1201	146642	0	 	1	 	 	 	0
2013	14	1402	1403	7	14133	960	146039	1	 	1	 	 	 	0
2013	14	1405	1413	8	14009	706	143523	0	0	0	 	 	 	1
2013	14	1405	1413	8	14009	288	144530	0	0	0	 	 	 	1
2013	14	1405	1413	8	14009	277	143914	0	0	0	 	 	 	1
2013	14	1405	1413	8	14009	825	144617	0	0	0	 	 	 	1
2013	14	1405	1413	8	14009	856	144766	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	40	 	0	1	0	unknown	1	district	0
2013	11	1105	1103	9	11078	83	113356	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	542	113329	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	903	113416	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	809	113471	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	1166	 	0	1	0	unknown	1	district	0
2013	11	1105	1103	9	11078	488	 	0	1	0	unknown	0	 	1
2013	11	1105	1103	9	11078	913	113508	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	587	113446	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	994	113484	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	720	 	0	1	0	unknown	0	 	1
2013	11	1105	1103	9	11078	959	113420	0	1	0	unknown	0	class	1
2013	11	1105	1103	9	11078	168	113350	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	1598	113387	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	18	 	0	1	0	unknown	1	district	0
2013	11	1105	1103	9	11078	1	 	0	1	0	unknown	0	 	1
2013	11	1105	1103	9	11078	450	113466	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	205	113382	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	1449	113389	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	1578	113587	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	931	113592	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	1354	113597	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	85	113304	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	266	113390	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	1167	113393	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	910	113323	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	534	113539	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	1372	113461	0	0	0	 	 	 	1
2013	11	1105	1103	9	11078	325	113600	0	0	0	 	 	 	1
2013	14	1413	1409	10	14106	1219	146001	0	0	0	 	 	 	1
2013	14	1413	1409	10	14106	567	146279	0	0	0	 	 	 	1
2013	14	1413	1409	10	14106	1422	145874	0	0	0	 	 	 	1
2013	14	1413	1409	10	14106	1275	146230	0	0	0	 	 	 	1
2013	14	1413	1409	10	14106	365	145969	0	0	0	 	 	 	1
2013	14	1413	1409	10	14106	854	146413	0	0	0	 	 	 	1
2013	14	1411	1422	11	14107	1537	 	0	 	1	administrative	0	class	0
2013	14	1411	1422	11	14107	970	 	0	 	1	administrative	0	class	0
2013	14	1411	1422	11	14107	141	 	0	 	1	administrative	0	class	0
